provinsi,daerah,jenis,tahun,peng,rata_pengeluaran,variasi_pengeluaran,cluster
ACEH,PERDESAAN,MAKANAN,2007,195176.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,MAKANAN,2008,218781.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,MAKANAN,2009,247427.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,MAKANAN,2010,275749.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,MAKANAN,2011,308000.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,MAKANAN,2012,326182.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,MAKANAN,2013,337761.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,MAKANAN,2014,368080.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,MAKANAN,2015,395136.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,MAKANAN,2016,412251.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,MAKANAN,2017,494150.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,MAKANAN,2018,506656.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,MAKANAN,2019,520759.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,MAKANAN,2020,566947.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,MAKANAN,2021,597940.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,MAKANAN,2022,633566.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,NONMAKANAN,2007,101285.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,NONMAKANAN,2008,112507.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,NONMAKANAN,2009,121818.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,NONMAKANAN,2010,139779.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,NONMAKANAN,2011,166699.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,NONMAKANAN,2012,166064.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,NONMAKANAN,2013,171013.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,NONMAKANAN,2014,195503.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,NONMAKANAN,2015,260183.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,NONMAKANAN,2016,272829.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,NONMAKANAN,2017,287004.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,NONMAKANAN,2018,331248.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,NONMAKANAN,2019,334915.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,NONMAKANAN,2020,378673.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,NONMAKANAN,2021,378673.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,NONMAKANAN,2022,406040.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,TOTAL,2007,296461.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,TOTAL,2008,331288.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,TOTAL,2009,369245.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,TOTAL,2010,415528.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,TOTAL,2011,474699.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,TOTAL,2012,492246.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,TOTAL,2013,508774.0,535469.7307692308,275213.6035601345,0
